id,brand,model,year,fuel,kms,price,transmission
5da4224f29cd0f5e097eccc1,Kia,Sportage,2014,d,173760.0,23950.0,
626837538de5f5adae0629d2,Audi,A4,2005,d,1.0,7950.0,
633746ba68f0f764920ff332,Ssangyong,Kyron,2006,d,201335.0,4566.0,
6213ff07db6b026f50310a32,Dodge,Caliber,2007,d,192544.0,2888.0,
62b1cb4175e2ef33210f39d2,Audi,A6,2005,d,276000.0,12000.0,
62384d2498ca774a5f1ca9b4,Opel,Astra,1999,p,176500.0,2500.0,
62fc81c3cb708eb9aa0bd5a4,Opel,Meriva,2005,p,169000.0,4900.0,
632727af3501979553005252,Mercedes-Benz,ML,2014,d,192600.0,44500.0,
6323071d76040139af07f572,Mercedes-Benz,C,2008,d,214000.0,9990.0,
632347bebb37e8d6fa01d455,Peugeot,208,2017,d,50100.0,15900.0,
62deb05d36255fe882090863,Nissan,Navara,2010,d,50794.0,28500.0,
6342d64e09068ee2c306a6b3,Peugeot,308,2010,p,94700.0,6000.0,
62de8840947aec23670a6772,Fiat,Sedici,2008,d,107834.0,8000.0,
6342d6293948524aea0395a2,BMW,X5,2008,d,277300.0,19700.0,
6342d611475bb30675091163,VW,Touran,2008,d,245000.0,7900.0,
622b71177d5630797d42abe4,Hyundai,Tucson,2017,d,161831.0,29990.0,
611e5baeaa538c6af7596a63,Mercedes-Benz,B,2006,d,194000.0,6850.0,
6295ad25a26657d3020cb6e3,Subaru,WRX,2001,p,67788.0,12950.0,
61e2fb327762c675f96ef569,Audi,Q3,2019,p,18066.0,69990.0,
6314aab8d1b0c9eed10821a6,Mercedes-Benz,E,2019,p,57567.0,65900.0,
62fbb2c7c95795caf401bf23,Opel,Astra,2007,d,198000.0,5999.0,
62b465db3d3f170d6f0fee93,Volvo,S60,2004,d,245000.0,4300.0,
6340729535062116da0d40c3,Jeep,Wrangler,2015,p,131000.0,54500.0,
63285ac64f33d46adf01f7a2,Mitsubishi,Lancer,2013,d,176000.0,9360.0,
62fd08bf6e076ed622050bd3,Mazda,2,2005,d,223000.0,3400.0,
6341812ec1699ced740298c4,Peugeot,308,2008,d,161600.0,7800.0,
62deebbe04b42e2f15080162,Alfa,Romeo,2008,d,215000.0,5999.0,
62b468e5b674a86cfb0c5382,Volvo,XC,2008,d,226000.0,12500.0,
632c7f7af7dba4178108b404,Seat,Leon,2005,d,212000.0,4300.0,
628a7de44b52a935da0896b5,Lada,2105,1988,p,83000.0,3400.0,
62471f7a5ac45b5b8802c4a2,Opel,Corsa,2005,p,123032.0,3000.0,
63238769c9b15fcdd5084862,Seat,Altea,2005,d,324000.0,5900.0,
6342d4c7d30749ea1009b302,Subaru,Justy,2004,p,143000.0,5999.0,
6342d58355f8e95860028323,Audi,A4,2010,d,295649.0,18500.0,
63359e5d3f44bd8e110f65d2,Chevrolet,Aveo,2009,p,33000.0,4500.0,
6342d4f8da2fc59b38091ae8,Dacia,Sandero,2014,p,130000.0,11000.0,
5f744c03fb01991c760b1d72,Chevrolet,Aveo,2008,p,131000.0,3500.0,
629b7647f95d47299c06bc22,Chevrolet,Aveo,2010,p,121000.0,4700.0,
6342d47cb50aa7b07c0f2793,Skoda,Octavia,2003,d,186880.0,7550.0,
62794f20d1a1134be003b303,Peugeot,207,2008,d,208178.0,4300.0,
62925a3860e94e0f58036eb2,Citroen,C4,2009,p,175000.0,4600.0,
62c47a9608e7f0c3c6063725,Fiat,Punto,2003,p,88658.0,2600.0,
632ebcb494e2296eed02b6b4,Peugeot,Expert,2006,d,223000.0,5900.0,
62c6d073fe63e5c2da0ee6a3,Renault,Clio,2003,p,200241.0,2700.0,
62d01a2af7ea21147b076543,Peugeot,206,2012,p,186000.0,5999.0,
62177aba3e63302fca141ce2,Suzuki,Swift,2005,p,173452.0,4899.0,
63396e8b1326bd456709b723,Ford,S-Max,2007,d,208000.0,8000.0,
62ce77296a448441920e0a42,Peugeot,208,2014,d,154000.0,11500.0,
626bfa0d4612ae950d01b222,Honda,Jazz,2003,p,179328.0,4600.0,
632586be25cb241cc80cba75,VW,Golf,2004,d,234000.0,6000.0,
632eeaf630a626c83804a834,VW,Sharan,2005,d,221000.0,6900.0,
62ebe350ea0c35627009fa84,VW,Lupo,1999,p,212000.0,2700.0,
633c019c89ba633e2e050095,Honda,CR-V,2006,d,200421.0,10800.0,
630d1a33ee2d46cfa40fde53,Ford,C-Max,2005,p,228045.0,5700.0,
6326b1c3250f1d59d90f1c42,Honda,CR-V,2005,d,245000.0,10800.0,
63340ca2632b38fbce015148,Mercedes-Benz,E,2010,d,299000.0,19700.0,
5da42216a97fce0464363746,Mercedes-Benz,E,2011,d,116000.0,21000.0,
62827028667d7500c60bde32,Jeep,Grand,2010,d,202000.0,19000.0,
62bb32501d941c3eac0c9092,Audi,Q5,2012,d,200800.0,24800.0,
6331a9506e448970a2089db6,Audi,A6,2006,d,305000.0,7800.0,
633ad16824bf0d505d0fd812,Audi,A4,2006,d,285000.0,7400.0,
6228da4729a754661b48ab73,BMW,520,2014,p,295000.0,24999.0,
6329c05c389eba50990fb3e2,BMW,318,2000,p,245000.0,3750.0,
63407044f0b51dac450c7033,BMW,535,2011,p,166000.0,29500.0,
62ed797e96213f4693078492,BMW,318,2003,p,185000.0,4700.0,
632f49ec0b0ac6bb6804b672,Opel,Astra,1992,p,182000.0,1950.0,
62a839ffcbc64a3665050224,VW,Golf,2006,p,175161.0,4770.0,
631b689220289ecf2504f272,VW,Sharan,2007,d,174790.0,9990.0,
633d6653c7d8fc6a08016892,Toyota,Yaris,2007,d,167839.0,7699.0,
63137c56dc02ffdfe70cc0a3,BMW,730,2012,d,260000.0,30900.0,
620a3b09d6f6c60dbf3e11d2,Peugeot,206,2003,d,154759.0,2220.0,
62b1817c98c059182c04bc94,BMW,320,2006,d,238410.0,8600.0,
630b2d0664bdcc485b0a6a93,Opel,Astra,2001,p,248612.0,1750.0,
6310dc52d6a05cd0ce0b0464,Daihatsu,Sirion,2006,p,214000.0,4777.0,
